Learning Area,Subject,Pathway,Sequence,Level,Achievement Standard
Languages,Vietnamese,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Vietnamese language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts, using non-verbal, visual and contextual cues to help make meaning. They recognise tone marks and use familiar words and modelled language to create texts. They copy letters and tone marks to make words.</p>
<p>Students imitate the sounds, tones and rhythms of spoken Vietnamese. They demonstrate understanding that Vietnamese has rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Vietnamese and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Vietnamese,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Vietnamese language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language, and basic syntax to create texts.</p>
<p>Students imitate sounds, tones, pronunciation and intonation patterns of spoken Vietnamese. They demonstrate understanding that Vietnamese has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Vietnamese and make comparisons between Vietnamese and English. They understand that the Vietnamese language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Vietnamese,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Vietnamese language that are related to their immediate environment. They use appropriate sounds, tones, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Vietnamese or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules for pronunciation and intonation in spoken Vietnamese. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in Vietnamese. They compare language structures and features in Vietnamese and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Vietnamese,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Vietnamese language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Vietnamese to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary sentence structures, and expressions to create texts.</p>
<p>Students apply the conventions of spoken Vietnamese to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Vietnamese text, using metalanguage. They reflect on how the Vietnamese language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Vietnamese,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Vietnamese language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language features to enhance meaning and cohesion.</p>
<p>Students incorporate the features and conventions of spoken Vietnamese to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Vietnamese texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Vietnamese, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Vietnamese,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Vietnamese language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Vietnamese or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, and modelled sentence and grammatical structures to create texts.</p>
<p>Students approximate tones, pronunciation and intonation in spoken Vietnamese. They demonstrate understanding that Vietnamese has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of Vietnamese and English language structures and features, using metalanguage. They demonstrate awareness that the Vietnamese language is connected with culture and identity, and that this connection is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Vietnamese,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain Vietnamese language to exchange and compare ideas and experiences about their own and others’ personal worlds. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Vietnamese or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written Vietnamese to create texts.</p>
<p>Students apply features and conventions of spoken Vietnamese to enhance fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Vietnamese, to discuss how this learning influences their ideas and ways of communicating.</p>"
Mathematics,Mathematics,,,Foundation Year,"<p>By the end of Foundation Year, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20. They use subitising and counting strategies to quantify collections. Students compare the size of collections to at least 20. They partition and combine collections up to 10 in different ways, representing these with numbers. Students represent practical situations that involve quantifying, equal sharing, adding to and taking away from collections to at least 10. They copy and continue repeating patterns.</p>
<p>Students identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events. They sequence and connect familiar events to the time of day. Students name, create and sort familiar shapes and give their reasoning. They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space.</p>
<p>Students collect, sort and compare data in response to questions in familiar contexts.</p>"
Mathematics,Mathematics,,,Year 1,"<p>By the end of Year 1, students connect number names, numerals and quantities, and order numbers to at least 120. They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones. Students partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120. They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies. Students use numbers, symbols and objects to create skip counting and repeating patterns, identifying the repeating unit.</p><p>They compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating reasoning. Students measure the length of shapes and objects using uniform informal units. They make, compare and classify shapes and objects using obvious features. Students give and follow directions to move people and objects within a space.</p>
<p>They collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies.</p>"
Mathematics,Mathematics,,,Year 2,"<p>By the end of Year 2, students order and represent numbers to at least 1000, apply knowledge of place value to partition, rearrange and rename two- and three-digit numbers in terms of their parts, and regroup partitioned numbers to assist in calculations. They use mathematical modelling to solve practical additive and multiplicative problems, including money transactions, representing the situation and choosing calculation strategies. Students identify and represent part-whole relationships of halves, quarters and eighths in measurement contexts. They describe and continue patterns that increase and decrease additively by a constant amount and identify missing elements in the pattern. Students recall and demonstrate proficiency with addition and subtraction facts within 20 and multiplication facts for twos.</p>
<p>They use uniform informal units to measure and compare shapes and objects. Students determine the number of days between events using a calendar and read time on an analog clock to the hour, half hour and quarter hour. They compare and classify shapes, describing features using formal spatial terms. Students locate and identify positions of features in two-dimensional representations and move position by following directions and pathways.</p>
<p>They use a range of methods to collect, record, represent and interpret categorical data in response to questions.</p>"
Mathematics,Mathematics,,,Year 3,"<p>By the end of Year 3, students order and represent natural numbers beyond 10?000. They partition, rearrange and regroup two- and three-digit numbers in different ways to assist in calculations. Students extend and use single-digit addition and related subtraction facts and apply additive strategies to model and solve problems involving two- and three-digit numbers. They use mathematical modelling  to solve practical problems involving single-digit multiplication and division, recalling multiplication facts for twos, threes, fours, fives and tens, and using a range of strategies. Students represent unit fractions and their multiples in different ways. They make estimates and determine the reasonableness of financial and other calculations. Students find unknown values in number sentences involving addition and subtraction. They create algorithms to investigate numbers and explore simple patterns.</p>
<p>Students use familiar metric units when estimating, comparing and measuring the attributes of objects and events. They identify angles as measures of turn and compare them to right angles. Students estimate and compare measures of duration using formal units of time. They represent money values in different ways. Students make, compare and classify objects using key features. They interpret and create two-dimensional representations of familiar environments.</p>
<p>Students conduct guided statistical investigations involving categorical and discrete numerical data and interpret their results in terms of the context. They record, represent and compare data they have collected. Students use practical activities, observation or experiment to identify and describe outcomes and the likelihood of everyday events explaining reasoning. They conduct repeated chance experiments and discuss variation in results.</p>"
Mathematics,Mathematics,,,Year 4,"<p>By the end of Year 4, students use their understanding of place value to represent tenths and hundredths in decimal form and to multiply natural numbers by multiples of 10. They use mathematical modelling to solve financial and other practical problems , formulating the problem using number sentences, solving the problem choosing efficient strategies and interpreting the results in terms of the situation. Students use their proficiency with addition and multiplication facts to add and subtract, multiply and divide numbers efficiently. They choose rounding and estimation strategies to determine whether results of calculations are reasonable. Students use the properties of odd and even numbers. They recognise equivalent fractions and make connections between fraction and decimal notations. Students count and represent fractions on a number line. They find unknown values in numerical equations involving addition and subtraction. Students follow and create algorithms that generate sets of numbers and identify emerging patterns.</p>
<p>They use scaled instruments and appropriate units to measure length, mass, capacity and temperature. Students measure and approximate perimeters and areas. They convert between units of time when solving problems involving duration. Students compare angles relative to a right angle using angle names. They represent and approximate shapes and objects in the environment. Students create and interpret grid references. They identify line and rotational symmetry in plane shapes and create symmetrical patterns.</p>
<p>Students create many-to-one data displays, assess the suitability of displays for representing data and discuss the shape of distributions and variation in data. They use surveys and digital tools to generate categorical or discrete numerical data in statistical investigations and communicate their findings in context. Students order events or the outcomes of chance experiments in terms of likelihood and identify whether events are independent or dependent. They conduct repeated chance experiments and describe the variation in results.</p>"
Mathematics,Mathematics,,,Year 5,"<p>By the end of Year 5, students use place value to write and order decimals including decimals greater than one. They express natural numbers as products of factors and identify multiples. Students order and represent add and subtract fractions with the same or related denominators. They represent common percentages and connect them to their fraction and decimal equivalents. Students use their proficiency with multiplication facts and efficient calculation strategies to multiply large numbers by one- and two-digit numbers and divide by single-digit numbers. They check the reasonableness of their calculations using estimation. Students use mathematical modelling to solve financial and other practical problems, formulating and solving problems, choosing arithmetic operations and interpreting results in terms of the situation. They apply properties of numbers and operations to find unknown values in numerical equations involving multiplication and division. Students create and use algorithms to identify and explain patterns in the factors and multiples of numbers.</p>
<p>They choose and use appropriate metric units to measure the attributes of length, mass and capacity, and to solve problems involving perimeter and area. Students convert between 12- and 24-hour time. They estimate, construct and measure angles in degrees. Students use grid coordinates to locate and move positions. They connect objects to their two-dimensional nets. Students perform and describe the results of transformations and identify any symmetries.</p>
<p>They plan and conduct statistical investigations that collect nominal and ordinal categorical and discrete numerical data using digital tools. Students identify the mode and interpret the shape of distributions of data in context. They interpret and compare data represented in line graphs. Students conduct repeated chance experiments, list the possible outcomes, estimate likelihoods and make comparisons between those with and without equally likely outcomes.</p>"
Mathematics,Mathematics,,,Year 6,"<p>By the end of Year 6, students use integers to represent points on a number line and in the Cartesian plane. They solve problems using the properties of prime, composite and square numbers. Students order common fractions, giving reasons, and add and subtract fractions with related denominators. They use all 4 operations with decimals and connect decimal representations of measurements to the metric system. Students solve problems involving finding a fraction, decimal or percentage of a quantity and use estimation to find approximate solutions to problems involving rational numbers and percentages. They use mathematical modelling to solve financial and other practical problems involving percentages and rational numbers, formulating and solving the problem, and justifying choices. Students find unknown values in numerical equations involving combinations of arithmetic operations. They identify and explain rules used to create growing patterns. Students create and use algorithms to generate sets of numbers, using a rule.</p>
<p>They interpret and use timetables. Students convert between common units of length, mass and capacity. They use the formula for the area of a rectangle and angle properties to solve problems. Students identify the parallel cross-section for right prisms. They create tessellating patterns using combinations of transformations. Students locate an ordered pair in any one of the 4 quadrants on the Cartesian plane.</p>
<p>They compare distributions of discrete and continuous numerical and ordinal categorical data sets as part of their statistical investigations, using digital tools. Students critique arguments presented in the media based on statistics. They assign probabilities using common fractions, decimal and percentages. Students conduct simulations using digital tools, to generate and record the outcomes from many trials of a chance experiment. They compare observed frequencies to the expected frequencies of the outcomes of chance experiments.</p>"
Mathematics,Mathematics,,,Year 7,"<p>By the end of Year 7, students represent natural numbers in expanded form and as products of prime factors, using exponent notation. They solve problems involving squares of numbers and square roots of perfect square numbers. Students solve problems involving addition and subtraction of integers. They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient calculation strategies. Students choose between equivalent representations of rational numbers and percentages to assist in calculations. They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in financial and other applied contexts, justifying choices of representation. Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values. They solve linear equations with natural number solutions. Students create tables of values related to algebraic expressions and formulas, and describe the effect of variation.</p>
<p>They apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons. Students use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems. They describe the relationships between the radius, diameter and circumference of a circle. Students classify polygons according to their features and create an algorithm designed to sort and classify shapes. They represent objects two-dimensionally in different ways, describing the usefulness of these representations. Students use coordinates to describe transformations of points in the plane.</p>
<p>They plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays. Students interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning. Students list sample spaces for single step experiments, assign probabilities to outcomes and predict relative frequencies for related events. They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.</p>"
Mathematics,Mathematics,,,Year 8,"<p>By the end of Year 8, students recognise irrational numbers and terminating or recurring decimals. They apply the exponent laws to calculations with numbers involving positive integer exponents. Students solve problems involving the 4 operations with integers and positive rational numbers. They use mathematical modelling to solve practical problems involving ratios, percentages and rates in measurement and financial contexts. Students apply algebraic properties to rearrange, expand and factorise linear expressions. They graph linear relations and solve linear equations with rational solutions and one-variable inequalities, graphically and algebraically. Students use mathematical modelling to solve problems using linear relations, interpreting and reviewing the model in context. They make and test conjectures involving linear relations using digital tools.</p>
<p>Students use appropriate metric units when solving measurement problems involving the perimeter and area of composite shapes, and volume of right prisms. They use Pythagoras’ theorem to solve measurement problems involving unknown lengths of right-angle triangles. Students use formulas to solve problems involving the area and circumference of circles. They solve problems of duration involving 12- and 24-hour cycles across multiple time zones. Students use 3 dimensions to locate and describe position. They identify conditions for congruency and similarity in shapes and create and test algorithms designed to test for congruency and similarity. Students apply the properties of quadrilaterals to solve problems.</p>
<p>They conduct statistical investigations and explain the implications of obtaining data through sampling. Students analyse and describe the distribution of data. They compare the variation in distributions of random samples of the same and different size from a given population with respect to shape, measures of central tendency and range. Students represent the possible combinations of 2 events with tables and diagrams, and determine related probabilities to solve practical problems. They conduct experiments and simulations using digital tools to determine related probabilities of compound events.</p>"
Mathematics,Mathematics,,,Year 9,"<p>By the end of Year 9, students recognise and use rational and irrational numbers to solve problems. They extend and apply the exponent laws with positive integers to variables. Students expand binomial products, and factorise monic quadratic expressions. They find the distance between 2 points on the Cartesian plane, and the gradient and midpoint of a line segment. Students use mathematical modelling to solve problems involving change in financial and other applied contexts, choosing to use linear and quadratic functions. They graph quadratic functions and solve monic quadratic equations with integer roots algebraically. Students describe the effects of variation of parameters on functions and relations, using digital tools, and make connections between their graphical and algebraic representations.</p>
<p>They apply formulas to solve problems involving the surface area and volume of right prisms and cylinders. Students solve problems involving ratio, similarity and scale in two-dimensional situations. They determine percentage errors in measurements. Students apply Pythagoras’ theorem and use trigonometric ratios to solve problems involving right-angled triangles. They use mathematical modelling to solve practical problems involving direct proportion, ratio and scale, evaluating the model and communicating their methods and findings. Students express small and large numbers in scientific notation. They apply the enlargement transformation to images of shapes and objects, and interpret results. Students design, use and test algorithms based on geometric constructions or theorems.</p>
<p>They compare and analyse the distributions of multiple numerical data sets, choose representations, describe features of these data sets using summary statistics and the shape of distributions, and consider the effect of outliers. Students explain how sampling techniques and representation can be used to support or question conclusions or to promote a point of view. They determine sets of outcomes for compound events and represent these in various ways. Students assign probabilities to the outcomes of compound events. They design and conduct experiments or simulations for combined events using digital tools.</p>"
Mathematics,Mathematics,,,Year 10,"<p>By the end of Year 10, students recognise the effect of approximations of real numbers in repeated calculations. They use mathematical modelling to solve problems involving growth and decay in financial and other applied situations, applying linear, quadratic and exponential functions as appropriate, and solve related equations, numerically and graphically. Students make and test conjectures involving functions and relations using digital tools. They solve problems involving simultaneous linear equations and linear inequalities in 2 variables graphically and justify solutions.</p>
<p>Students interpret and use logarithmic scales representing small or large quantities or change in applied contexts. They solve  measurement problems involving surface area and volume of composite objects.  Students apply Pythagoras’ theorem and trigonometry to solve practical problems involving right-angled triangles. They identify the impact of measurement errors on the accuracy of results. Students use mathematical modelling to solve practical problems involving proportion and scaling, evaluating and modifying models, and reporting assumptions, methods and findings. They use deductive reasoning, theorems and algorithms to solve spatial problems. Students interpret  networks used to represent practical situations and describe connectedness.</p>
<p>They plan and conduct statistical investigations involving bivariate data. Students represent the distribution of data involving 2 variables, using tables and scatter plots, and comment on possible association. They analyse inferences and conclusions in the media, noting potential sources of bias. Students compare the distribution of continuous numerical data, using various displays, and discuss distributions in terms of centre, spread, shape and outliers. They apply conditional probability to solve problems involving compound events. Students design and conduct simulations involving conditional probability, using digital tools.</p>"
Science,Science,,,Foundation Year,"<p>By the end of Foundation students group plants and animals based on external features. They identify factors that influence the movement of objects. They describe the observable properties of the materials that make up objects. They identify examples of people using observation and questioning to learn about the natural world.</p>
<p>Students pose questions and make predictions based on their experiences. They engage in investigations and make observations safely. With guidance, they represent observations and identify patterns. With guidance, they compare their observations with their predictions. They share questions, predictions, observations and ideas about their experiences with others.</p>"
Science,Science,,,Year 1,"<p>By the end of Year 1 students identify how living things meet their needs in the places they live. They identify daily and seasonal changes and describe ways these changes affect their everyday life. They describe how different pushes and pulls change the motion and shape of objects. They describe situations where they use science in their daily lives and identify examples of people making scientific predictions.</p>
<p>Students pose questions to explore observations and make predictions based on experiences. They follow safe procedures to make and record observations. They use provided tables and organisers to sort and order data and information and, with guidance, represent patterns. With guidance, they compare observations with predictions and identify further questions. They use everyday vocabulary to communicate observations, findings and ideas.</p>"
Science,Science,,,Year 2,"<p>By the end of Year 2 students identify celestial objects and describe patterns they observe in the sky. They demonstrate how different sounds can be produced and describe the effect of sound energy on objects. They identify ways to change materials without changing their material composition. They describe how people use science in their daily lives and how people use patterns to make scientific predictions.</p>
<p>Students pose questions to explore observed patterns or relationships and make predictions based on experience. They suggest steps to be followed in an investigation and follow safe procedures to make and record observations. They use provided tables and organisers to sort and order data and represent patterns in data. With guidance, they compare their observations with those of others, identify whether their investigation was fair and identify further questions. They use everyday and scientific vocabulary to communicate observations, findings and ideas.</p>"
Science,Science,,,Year 3,"<p>By the end of Year 3 students classify and compare living and non-living things and different life cycles. They describe the observable properties of soils, rocks and minerals and describe their importance as resources. They identify sources of heat energy and examples of heat transfer and explain changes in the temperature of objects. They classify solids and liquids based on observable properties and describe how to cause a change of state. They describe how people use data to develop explanations. They identify solutions that use scientific explanations.</p>
<p>Students pose questions to explore patterns and relationships and make predictions based on observations. They use scaffolds to plan safe investigations and fair tests. They use familiar classroom instruments to make measurements. They organise data and information using provided scaffolds and identify patterns and relationships. They compare their findings with those of others, explain how they kept their investigation fair, identify further questions and draw conclusions. They communicate ideas and findings for an identified purpose, including using scientific vocabulary when appropriate.</p>"
Science,Science,,,Year 4,"<p>By the end of Year 4 students identify the roles of organisms in a habitat and construct food chains. They identify key processes in the water cycle and describe how water cycles through the environment. They identify forces acting on objects and describe their effect. They relate the uses of materials to their properties. They explain the role of data in science inquiry. They identify solutions based on scientific explanations and describe the needs these meet.</p>
<p>Students pose questions to identify patterns and relationships and make predictions based on observations. They plan investigations using planning scaffolds, identify key elements of fair tests and describe how they conduct investigations safely. They use simple procedures to make accurate formal measurements. They construct representations to organise data and information and identify patterns and relationships. They compare their findings with those of others, assess the fairness of their investigation, identify further questions for investigation and draw conclusions. They communicate ideas and findings for an identified audience and purpose, including using scientific vocabulary when appropriate.</p>"
Science,Science,,,Year 5,"<p>By the end of Year 5 students explain how the form and behaviour of living things enables survival. They describe key processes that change Earth’s surface. They identify sources of light and model the transfer of light to explain observed phenomena. They relate the particulate arrangement of solids, liquids and gases to their observable properties. They describe examples of collaboration leading to advances in science, and scientific knowledge that has changed over time. They identify examples where scientific knowledge informs the actions of individuals and communities.</p>
<p>Students plan safe investigations to identify patterns and relationships and make reasoned predictions. They identify risks associated with investigations and key intercultural considerations when planning field work. They identify variables to be changed and measured. They use equipment to generate data with appropriate precision. They construct representations to organise data and information and describe patterns, trends and relationships. They compare their methods and findings to those of others, identify possible sources of error in their investigation, pose questions for further investigation and draw reasoned conclusions. They use language features that reflect their purpose and audience when communicating their ideas and findings.</p>"
Science,Science,,,Year 6,"<p>By the end of Year 6 students explain how changes in physical conditions affect living things. They model the relationship between the sun and planets of the solar system and explain how the relative positions of Earth and the sun relate to observed phenomena on Earth. They identify the role of circuit components in the transfer and transformation of electrical energy. They classify and compare reversible and irreversible changes to substances. They explain why science is often collaborative and describe different individuals’ contributions to scientific knowledge. They describe how individuals and communities use scientific knowledge.</p>
<p>Students plan safe, repeatable investigations to identify patterns and test relationships and make reasoned predictions. They describe risks associated with investigations and key intercultural considerations when planning field work. They identify variables to be changed, measured and controlled. They use equipment to generate and record data with appropriate precision. They construct representations to organise and process data and information and describe patterns, trends and relationships. They identify possible sources of error in their own and others’ methods and findings, pose questions for further investigation and select evidence to support reasoned conclusions. They select and use language features effectively for their purpose and audience when communicating their ideas and findings.</p>"
Science,Science,,,Year 7,"<p>By the end of Year 7 students explain how biological diversity is ordered and organised. They represent flows of matter and energy in ecosystems and predict the effects of environmental changes. They model cycles in the Earth-sun-moon system and explain the effects of these cycles on Earth phenomena. They represent and explain the effects of forces acting on objects. They use particle theory to explain the physical properties of substances and develop processes that separate mixtures. Students identify the factors that can influence development of and lead to changes in scientific knowledge. They explain how scientific responses are developed and can impact society. They explain the role of science communication in shaping viewpoints, policies and regulations.</p>
<p>Students plan and conduct safe, reproducible investigations to test relationships and aspects of scientific models. They identify potential ethical issues and intercultural considerations required for field locations or use of secondary data. They use equipment to generate and record data with precision. They select and construct appropriate representations to organise data and information. They process data and information and analyse it to describe patterns, trends and relationships. They identify possible sources of error in methods and identify unanswered questions in conclusions and claims. They identify evidence to support their conclusions and construct arguments to support or dispute claims. They select and use language and text features appropriately for their purpose and audience when communicating their ideas and findings.</p>"
Science,Science,,,Year 8,"<p>By the end of Year 8 students explain the role of specialised cell structures and organelles in cellular function and analyse the relationship between structure and function at organ and body system levels. They apply an understanding of the theory of plate tectonics to explain patterns of change in the geosphere. They explain how the properties of rocks relate to their formation and influence their use. They compare different forms of energy and represent transfer and transformation of energy in simple systems. They classify and represent different types of matter and distinguish between physical and chemical change. Students analyse how different factors influence development of and lead to changes in scientific knowledge. They analyse the key considerations that inform scientific responses and how these responses impact society. They analyse the importance of science communication in shaping viewpoints, policies and regulations.</p>
<p>Students plan and conduct safe, reproducible investigations to test relationships and explore models. They describe potential ethical issues and intercultural considerations needed for specific field locations or use of secondary data. They select and use equipment to generate and record data with precision. They select and construct appropriate representations to organise and process data and information. They analyse data and information to describe patterns, trends and relationships and identify anomalies. They identify assumptions and sources of error in methods and analyse conclusions and claims with reference to conflicting evidence and unanswered questions. They construct evidence-based arguments to support conclusions and evaluate claims. They select and use language and text features appropriately for their purpose when communicating their ideas, findings and arguments to specific audiences.</p>"
Science,Science,,,Year 9,"<p>By the end of Year 9 students explain how body systems provide a coordinated response to stimuli. They describe how the processes of sexual and asexual reproduction enable survival of the species. They explain how interactions within and between Earth’s spheres affect the carbon cycle. They analyse energy conservation in simple systems and apply wave and particle models to describe energy transfer. They explain observable chemical processes in terms of changes in atomic structure, atomic rearrangement and mass. Students explain the role of publication and peer review in the development of scientific knowledge and explain the relationship between science, technologies and engineering. They analyse the different ways in which science and society are interconnected.</p>
<p>Students plan and conduct safe, reproducible investigations to test or identify relationships and models. They describe how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data. They select and use equipment to generate and record replicable data with precision. They select and construct appropriate representations to organise, process and summarise data and information. They analyse and connect data and information to identify and explain patterns, trends, relationships and anomalies. They analyse the impact of assumptions and sources of error in methods and evaluate the validity of conclusions and claims. They construct logical arguments based on evidence to support conclusions and evaluate claims. They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to specific audiences.</p>"
Science,Science,,,Year 10,"<p>By the end of Year 10 students explain the processes that underpin heredity and genetic diversity and describe the evidence supporting the theory of evolution by natural selection. They sequence key events in the origin and evolution of the universe and describe the supporting evidence for the big bang theory. They describe trends in patterns of global climate change and identify causal factors. They explain how Newton’s laws describe motion and apply them to predict motion of objects in a system. They explain patterns and trends in the periodic table and predict the products of reactions and the effect of changing reactant and reaction conditions. Students analyse the importance of publication and peer review in the development of scientific knowledge and analyse the relationship between science, technologies and engineering. They analyse the key factors that influence interactions between science and society.</p>
<p>Students plan and conduct safe, valid and reproducible investigations to test relationships or develop explanatory models. They explain how they have addressed any ethical and intercultural considerations when generating or using primary and secondary data. They select equipment and use it efficiently to generate and record appropriate sample sizes and replicable data with precision. They select and construct effective representations to organise, process and summarise data and information. They analyse and connect a variety of data and information to identify and explain patterns, trends, relationships and anomalies. They evaluate the validity and reproducibility of methods, and the validity of conclusions and claims. They construct logical arguments based on analysis of a variety of evidence to support conclusions and evaluate claims. They select and use content, language and text features effectively to achieve their purpose when communicating their ideas, findings and arguments to diverse audiences.</p>"
Technologies,,,,Foundation Year,"By the end of Foundation students identify familiar products, services and environments and develop familiarity with digital systems, using them for a purpose. They create, communicate and choose design ideas. Students follow steps and use materials and equipment to safely make a designed solution for a school-selected context. They show how to represent data using objects, pictures and symbols and identify examples of data that is owned by them."
Technologies,Design and Technologies,,,Foundation Year,"By the end of Foundation students identify familiar products, services and environments. They create a designed solution for a school-selected context. Students create, communicate and choose design ideas. They follow steps and use materials and equipment to safely make a designed solution."
